idx,utc_iso,image,true_label,true_class,pred_label,pred_class,sil_label,sil_class,mil_label,mil_class,frame_file,ts_ms,temp_c,cyc_capture,cyc_pre,cyc_inf,cyc_post,cyc_total,us_capture,us_pre,us_inf,us_post,us_total
1,2026-08-30T15:02:12.821303+00:00,Placass11448.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0001_Placass11448.jpg.png,21532,40,618681,1363264,95719785,199,97701929,1546.703,3408.16,239299.453,0.498,244254.812
2,2026-08-30T15:02:16.184500+00:00,Motospl10239.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0002_Motospl10239.jpg.png,25168,39,765990,1357130,95678917,213,97802250,1914.975,3392.825,239197.297,0.533,244505.625
3,2026-08-30T15:02:19.562049+00:00,plaacaas1193.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0003_plaacaas1193.jpg.png,28542,38,943460,1357256,95679445,199,97980360,2358.65,3393.14,239198.625,0.498,244950.891
4,2026-08-30T15:02:22.901585+00:00,Motospl10565.jpg,1,Class2,0,Class1,0,Class1,1,Class2,frame_0004_Motospl10565.jpg.png,31883,38,486089,1355234,95799683,199,97641205,1215.223,3388.085,239499.203,0.498,244103.016
5,2026-08-30T15:02:26.278515+00:00,Placass10454.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0005_Placass10454.jpg.png,35257,39,870574,1354981,95731613,213,97957381,2176.435,3387.453,239329.047,0.533,244893.453
6,2026-08-30T15:02:29.647693+00:00,Motospl10041.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0006_Motospl10041.jpg.png,38631,40,760393,1355678,95767529,209,97883809,1900.982,3389.195,239418.828,0.522,244709.516
7,2026-08-30T15:02:33.017862+00:00,Placass11388.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0007_Placass11388.jpg.png,42005,38,943165,1354464,95748815,291,98046735,2357.913,3386.16,239372.031,0.728,245116.844
8,2026-08-30T15:02:36.347759+00:00,placas1516.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0008_placas1516.jpg.png,45346,39,503709,1352990,95708139,195,97565033,1259.272,3382.475,239270.344,0.488,243912.578
9,2026-08-30T15:02:39.697006+00:00,Placasm11069.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0009_Placasm11069.jpg.png,48688,40,793892,1354894,95740349,277,97889412,1984.73,3387.235,239350.875,0.692,244723.531
10,2026-08-30T15:02:43.028623+00:00,Placass11676.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0010_Placass11676.jpg.png,52029,40,513758,1359978,95767133,213,97641082,1284.395,3399.945,239417.828,0.533,244102.703
11,2026-08-30T15:02:46.382615+00:00,Motospl11612.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0011_Motospl11612.jpg.png,55370,40,816985,1353962,95791713,213,97962873,2042.463,3384.905,239479.281,0.533,244907.172
12,2026-08-30T15:02:49.757180+00:00,Motospl10451.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0012_Motospl10451.jpg.png,58744,39,910605,1356198,95680627,211,97947641,2276.512,3390.495,239201.562,0.527,244869.109
13,2026-08-30T15:02:53.100163+00:00,Motospl10371.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0013_Motospl10371.jpg.png,62085,40,531896,1355725,95702015,199,97589835,1329.74,3389.313,239255.031,0.498,243974.594
14,2026-08-30T15:02:56.475028+00:00,Placas11148.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0014_Placas11148.jpg.png,65459,40,957298,1352984,95775731,197,98086210,2393.245,3382.46,239439.312,0.493,245215.516
15,2026-08-30T15:02:59.843742+00:00,Motospl11753.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0015_Motospl11753.jpg.png,68833,39,876946,1353114,95699645,201,97929906,2192.365,3382.785,239249.125,0.502,244824.75
16,2026-08-30T15:03:03.207545+00:00,Motospl10803.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0016_Motospl10803.jpg.png,72207,39,947228,1353554,95777565,213,98078560,2368.07,3383.885,239443.922,0.533,245196.391
17,2026-08-30T15:03:06.557572+00:00,Placasm10654.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0017_Placasm10654.jpg.png,75548,40,763081,1355172,95732515,199,97850967,1907.703,3387.93,239331.281,0.498,244627.406
18,2026-08-30T15:03:09.881693+00:00,Motospl10679.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0018_Motospl10679.jpg.png,78890,39,577746,1354926,95728837,213,97661722,1444.365,3387.315,239322.094,0.533,244154.297
19,2026-08-30T15:03:13.239884+00:00,Placasm10841.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0019_Placasm10841.jpg.png,82231,38,717835,1356082,95785491,275,97859683,1794.588,3390.205,239463.719,0.687,244649.203
20,2026-08-30T15:03:16.588994+00:00,Placass11488.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0020_Placass11488.jpg.png,85572,40,544860,1355012,95658825,197,97558894,1362.15,3387.53,239147.047,0.493,243897.25
21,2026-08-30T15:03:19.926497+00:00,Placa119.png,1,Class2,1,Class2,1,Class2,1,Class2,frame_0021_Placa119.png.png,88913,40,515141,1354674,95695169,277,97565261,1287.853,3386.685,239237.922,0.692,243913.172
22,2026-08-30T15:03:23.264446+00:00,placaas10995.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0022_placaas10995.jpg.png,92255,39,544357,1354608,95694595,203,97593763,1360.892,3386.52,239236.469,0.507,243984.406
23,2026-08-30T15:03:26.606648+00:00,plaacaas1029.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0023_plaacaas1029.jpg.png,95596,39,611327,1357100,95775373,209,97744009,1528.318,3392.75,239438.453,0.522,244360.031
24,2026-08-30T15:03:29.981869+00:00,Motospl11083.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0024_Motospl11083.jpg.png,98970,39,939586,1357684,95711212,206,98008688,2348.965,3394.21,239278.031,0.515,245021.719
25,2026-08-30T15:03:33.321743+00:00,Motospl11682.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0025_Motospl11682.jpg.png,102311,39,585822,1358222,95783767,213,97728024,1464.555,3395.555,239459.422,0.533,244320.047
26,2026-08-30T15:03:36.701554+00:00,Motospl10774.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0026_Motospl10774.jpg.png,105685,39,979582,1353504,95726047,199,98059332,2448.955,3383.76,239315.109,0.498,245148.328
27,2026-08-30T15:03:40.061812+00:00,plaacaas1234.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0027_plaacaas1234.jpg.png,109059,40,948300,1355905,95709497,201,98013903,2370.75,3389.762,239273.734,0.502,245034.766
28,2026-08-30T15:03:43.411151+00:00,Placass10418.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0028_Placass10418.jpg.png,112400,40,634941,1357500,95706231,199,97698871,1587.353,3393.75,239265.578,0.498,244247.172
29,2026-08-30T15:03:46.747444+00:00,Placass10088.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0029_Placass10088.jpg.png,115741,39,515967,1353954,95713856,206,97583983,1289.917,3384.885,239284.641,0.515,243959.953
30,2026-08-30T15:03:50.117304+00:00,Motospl10084.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0030_Motospl10084.jpg.png,119116,38,989563,1356770,95762571,211,98109115,2473.907,3391.925,239406.422,0.527,245272.797
31,2026-08-30T15:03:53.466477+00:00,placaas11370.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0031_placaas11370.jpg.png,122457,39,604337,1357430,95694161,195,97656123,1510.843,3393.575,239235.406,0.488,244140.312
32,2026-08-30T15:03:56.806358+00:00,Motospl11232.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0032_Motospl11232.jpg.png,125798,40,562080,1355272,95774915,211,97692478,1405.2,3388.18,239437.281,0.527,244231.203
33,2026-08-30T15:04:00.145083+00:00,Placass10130.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0033_Placass10130.jpg.png,129139,40,493112,1353206,95689895,211,97536424,1232.78,3383.015,239224.75,0.527,243841.062
34,2026-08-30T15:04:03.487516+00:00,placaas10037.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0034_placaas10037.jpg.png,132480,39,643558,1355906,95651077,213,97650754,1608.895,3389.765,239127.687,0.533,244126.891
35,2026-08-30T15:04:06.835383+00:00,Motospl11920.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0035_Motospl11920.jpg.png,135822,39,604026,1356912,95692111,183,97653232,1510.065,3392.28,239230.281,0.458,244133.078
36,2026-08-30T15:04:10.207203+00:00,placaas10739.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0036_placaas10739.jpg.png,139195,39,960036,1355884,95634911,291,97951122,2400.09,3389.71,239087.281,0.728,244877.797
37,2026-08-30T15:04:13.585269+00:00,Placass11510.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0037_Placass11510.jpg.png,142570,39,941393,1354017,95750501,293,98046204,2353.482,3385.042,239376.266,0.733,245115.531
38,2026-08-30T15:04:16.953547+00:00,placas1491.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0038_placas1491.jpg.png,145944,39,965415,1355394,95719131,199,98040139,2413.538,3388.485,239297.812,0.498,245100.344
39,2026-08-30T15:04:20.293388+00:00,Placass10374.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0039_Placass10374.jpg.png,149285,39,549879,1357010,95656314,204,97563407,1374.698,3392.525,239140.781,0.51,243908.531
40,2026-08-30T15:04:23.673135+00:00,Motospl12172.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0040_Motospl12172.jpg.png,152659,39,919923,1360676,95775285,213,98056097,2299.808,3401.69,239438.219,0.533,245140.25
41,2026-08-30T15:04:27.043097+00:00,Motospl11197.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0041_Motospl11197.jpg.png,156033,41,807365,1356016,95668649,197,97832227,2018.412,3390.04,239171.625,0.493,244580.562
42,2026-08-30T15:04:30.416566+00:00,placaas10861.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0042_placaas10861.jpg.png,159407,39,847196,1356974,95718019,201,97922390,2117.99,3392.435,239295.047,0.502,244805.984
43,2026-08-30T15:04:33.791549+00:00,placaas10773.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0043_placaas10773.jpg.png,162781,40,867433,1357606,95743549,213,97968801,2168.583,3394.015,239358.891,0.533,244922.0
44,2026-08-30T15:04:37.125838+00:00,Motospl11936.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0044_Motospl11936.jpg.png,166122,39,484746,1357980,95702943,211,97545880,1211.865,3394.95,239257.359,0.527,243864.703
45,2026-08-30T15:04:40.469233+00:00,Motospl10492.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0045_Motospl10492.jpg.png,169463,40,630176,1353940,95739719,211,97724046,1575.44,3384.85,239349.297,0.527,244310.109
46,2026-08-30T15:04:43.811731+00:00,Placasm10667.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0046_Placasm10667.jpg.png,172805,39,580035,1356438,95766745,277,97703495,1450.088,3391.095,239416.875,0.692,244258.734
47,2026-08-30T15:04:47.183954+00:00,placas1663.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0047_placas1663.jpg.png,176179,40,915495,1353930,95748437,215,98018077,2288.738,3384.825,239371.109,0.538,245045.203
48,2026-08-30T15:04:50.534888+00:00,Placasm10433.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0048_Placasm10433.jpg.png,179520,40,527111,1356464,95711009,201,97594785,1317.777,3391.16,239277.516,0.502,243986.969
49,2026-08-30T15:04:53.896584+00:00,placaas10923.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0049_placaas10923.jpg.png,182894,38,883030,1356887,95668783,211,97908911,2207.575,3392.218,239171.969,0.527,244772.281
50,2026-08-30T15:04:57.235485+00:00,Placass11000.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0050_Placass11000.jpg.png,186235,39,612951,1353202,95708693,213,97675059,1532.377,3383.005,239271.75,0.533,244187.641
51,2026-08-30T15:05:00.596305+00:00,Placasm11007.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0051_Placasm11007.jpg.png,189576,39,542045,1354552,95748315,211,97645123,1355.113,3386.38,239370.781,0.527,244112.797
52,2026-08-30T15:05:03.957316+00:00,placaas10913.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0052_placaas10913.jpg.png,192950,39,788203,1355649,95736973,197,97881022,1970.507,3389.123,239342.437,0.493,244702.547
53,2026-08-30T15:05:07.335290+00:00,placaas10231.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0053_placaas10231.jpg.png,196324,40,912672,1357432,95718301,201,97988606,2281.68,3393.58,239295.766,0.502,244971.516
54,2026-08-30T15:05:10.699640+00:00,Motospl11296.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0054_Motospl11296.jpg.png,199698,39,896515,1352296,95746391,201,97995403,2241.287,3380.74,239365.969,0.502,244988.5
55,2026-08-30T15:05:14.046762+00:00,Placas11191.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0055_Placas11191.jpg.png,203039,39,615881,1354148,95659160,206,97629395,1539.703,3385.37,239147.906,0.515,244073.469
56,2026-08-30T15:05:17.394948+00:00,placas1264.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0056_placas1264.jpg.png,206381,40,509890,1349844,95693363,199,97553296,1274.725,3374.61,239233.391,0.498,243883.234
57,2026-08-30T15:05:20.757573+00:00,Motospl11503.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0057_Motospl11503.jpg.png,209755,39,864681,1354670,95771793,213,97991357,2161.702,3386.675,239429.469,0.533,244978.391
58,2026-08-30T15:05:24.100900+00:00,Motospl11141.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0058_Motospl11141.jpg.png,213096,39,609450,1357566,95724769,201,97691986,1523.625,3393.915,239311.922,0.502,244229.953
59,2026-08-30T15:05:27.440029+00:00,placaas10467.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0059_placaas10467.jpg.png,216437,39,550641,1349866,95757957,211,97658675,1376.603,3374.665,239394.891,0.527,244146.687
60,2026-08-30T15:05:30.785076+00:00,placaas10221.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0060_placaas10221.jpg.png,219778,40,555578,1354638,95695933,201,97606350,1388.945,3386.595,239239.844,0.502,244015.875
61,2026-08-30T15:05:34.135152+00:00,Placasm10236.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0061_Placasm10236.jpg.png,223119,38,575481,1355862,95657092,192,97588627,1438.703,3389.655,239142.734,0.48,243971.562
62,2026-08-30T15:05:37.502792+00:00,Placas11004.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0062_Placas11004.jpg.png,226493,39,886719,1355132,95679517,277,97921645,2216.797,3387.83,239198.812,0.692,244804.125
63,2026-08-30T15:05:40.881893+00:00,Motospl11339.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0063_Motospl11339.jpg.png,229868,40,961680,1355132,95776079,211,98093102,2404.2,3387.83,239440.187,0.527,245232.75
64,2026-08-30T15:05:44.247255+00:00,Motospl10556.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0064_Motospl10556.jpg.png,233242,39,817927,1353230,95755917,213,97927287,2044.818,3383.075,239389.797,0.533,244818.219
65,2026-08-30T15:05:47.599362+00:00,Placa29.png,1,Class2,1,Class2,1,Class2,1,Class2,frame_0065_Placa29.png.png,236616,39,983751,1355276,95773833,201,98113061,2459.377,3388.19,239434.562,0.502,245282.672
66,2026-08-30T15:05:50.968597+00:00,Placasm10907.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0066_Placasm10907.jpg.png,239957,39,877118,1357978,95747629,213,97982938,2192.795,3394.945,239369.078,0.533,244957.344
67,2026-08-30T15:05:54.323936+00:00,Placasm10590.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0067_Placasm10590.jpg.png,243331,40,817140,1358783,95798917,209,97975049,2042.85,3396.958,239497.297,0.522,244937.625
68,2026-08-30T15:05:57.680158+00:00,Placass11655.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0068_Placass11655.jpg.png,246672,40,653698,1357669,95687803,211,97699381,1634.245,3394.172,239219.5,0.527,244248.453
69,2026-08-30T15:06:01.062661+00:00,Placas11522.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0069_Placas11522.jpg.png,250046,40,979352,1356614,95716047,211,98052224,2448.38,3391.535,239290.125,0.527,245130.562
70,2026-08-30T15:06:04.420133+00:00,Motospl10037.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0070_Motospl10037.jpg.png,253420,40,823582,1354074,95750446,284,97928386,2058.955,3385.185,239376.125,0.71,244820.953
71,2026-08-30T15:06:07.778926+00:00,Motospl10428.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0071_Motospl10428.jpg.png,256761,39,533250,1354800,95729215,183,97617448,1333.125,3387.0,239323.047,0.458,244043.625
72,2026-08-30T15:06:11.153249+00:00,Motospl10935.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0072_Motospl10935.jpg.png,260135,39,805885,1353664,95751111,211,97910871,2014.712,3384.16,239377.781,0.527,244777.172
73,2026-08-30T15:06:17.489915+00:00,plaacaas1040.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0073_plaacaas1040.jpg.png,263509,39,636874,1355052,95716931,185,97709042,1592.185,3387.63,239292.328,0.463,244272.594
74,2026-08-30T15:06:20.834434+00:00,Placas11584.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0074_Placas11584.jpg.png,269831,40,510683,1356540,95730027,199,97597449,1276.708,3391.35,239325.062,0.498,243993.609
75,2026-08-30T15:06:24.182127+00:00,Motospl10939.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0075_Motospl10939.jpg.png,273172,40,511065,1355236,95651525,201,97518027,1277.662,3388.09,239128.828,0.502,243795.047
76,2026-08-30T15:06:27.510779+00:00,Placass10183.jpg,0,Class1,0,Class1,0,Class1,1,Class2,frame_0076_Placass10183.jpg.png,276514,39,485894,1356424,95770942,204,97613464,1214.735,3391.06,239427.359,0.51,244033.672
77,2026-08-30T15:06:30.863019+00:00,Placass11561.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0077_Placass11561.jpg.png,279855,39,624187,1353656,95671115,199,97649157,1560.468,3384.14,239177.781,0.498,244122.906
78,2026-08-30T15:06:34.202343+00:00,placaas10073.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0078_placaas10073.jpg.png,283196,39,492271,1358302,95687663,215,97538451,1230.677,3395.755,239219.156,0.538,243846.125
79,2026-08-30T15:06:37.546821+00:00,placaas10752.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0079_placaas10752.jpg.png,286538,39,514935,1354178,95726138,192,97595443,1287.338,3385.445,239315.344,0.48,243988.594
80,2026-08-30T15:06:40.921204+00:00,Placa40.png,1,Class2,1,Class2,1,Class2,1,Class2,frame_0080_Placa40.png.png,289912,39,965798,1354045,95779947,211,98100001,2414.495,3385.113,239449.859,0.527,245250.0
81,2026-08-30T15:06:44.290853+00:00,Placass11013.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0081_Placass11013.jpg.png,293285,39,878700,1355334,95710745,197,97944976,2196.75,3388.335,239276.859,0.493,244862.437
82,2026-08-30T15:06:47.663273+00:00,Motospl11700.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0082_Motospl11700.jpg.png,296660,39,876289,1357836,95827595,199,98061919,2190.722,3394.59,239568.984,0.498,245154.797
83,2026-08-30T15:06:51.033867+00:00,Placasm10720.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0083_Placasm10720.jpg.png,300033,40,930242,1355364,95718615,211,98004432,2325.605,3388.41,239296.531,0.527,245011.094
84,2026-08-30T15:06:54.372704+00:00,placas1215.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0084_placas1215.jpg.png,303375,39,578964,1351618,95697861,197,97628640,1447.41,3379.045,239244.656,0.493,244071.609
85,2026-08-30T15:06:57.739724+00:00,Placa180.png,1,Class2,1,Class2,1,Class2,1,Class2,frame_0085_Placa180.png.png,306749,39,956651,1358518,95733067,199,98048435,2391.627,3396.295,239332.672,0.498,245121.078
86,2026-08-30T15:07:01.100347+00:00,placaas10282.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0086_placaas10282.jpg.png,310090,39,627047,1356954,95709849,277,97694127,1567.618,3392.385,239274.625,0.692,244235.328
87,2026-08-30T15:07:04.467531+00:00,Placasm10286.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0087_Placasm10286.jpg.png,313464,40,913397,1356652,95737711,215,98007975,2283.492,3391.63,239344.281,0.538,245019.937
88,2026-08-30T15:07:07.813191+00:00,Motospl10552.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0088_Motospl10552.jpg.png,316805,39,485806,1354094,95785841,213,97625954,1214.515,3385.235,239464.594,0.533,244064.875
89,2026-08-30T15:07:11.186613+00:00,Motospl10416.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0089_Motospl10416.jpg.png,320179,40,881395,1356476,95744707,213,97982791,2203.488,3391.19,239361.75,0.533,244956.984
90,2026-08-30T15:07:14.559615+00:00,placaas10884.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0090_placaas10884.jpg.png,323553,39,920122,1353546,95645224,192,97919084,2300.305,3383.865,239113.062,0.48,244797.719
91,2026-08-30T15:07:17.930816+00:00,Placass10223.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0091_Placass10223.jpg.png,326927,40,872689,1353222,95792403,193,98018507,2181.722,3383.055,239481.0,0.482,245046.25
92,2026-08-30T15:07:21.278495+00:00,placas1399.jpg,0,Class1,1,Class2,1,Class2,0,Class1,frame_0092_placas1399.jpg.png,330268,40,491550,1351994,95773731,275,97617550,1228.875,3379.985,239434.312,0.687,244043.875
93,2026-08-30T15:07:24.651285+00:00,Motospl10956.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0093_Motospl10956.jpg.png,333642,38,945179,1355190,95697583,199,97998151,2362.948,3387.975,239243.953,0.498,244995.375
94,2026-08-30T15:07:28.017382+00:00,plaacaas1186.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0094_plaacaas1186.jpg.png,337016,39,838283,1356796,95719641,197,97914917,2095.708,3391.99,239299.094,0.493,244787.297
95,2026-08-30T15:07:31.358714+00:00,Motospl10762.jpg,1,Class2,1,Class2,1,Class2,1,Class2,frame_0095_Motospl10762.jpg.png,340358,39,590932,1354606,95756035,199,97701772,1477.33,3386.515,239390.094,0.498,244254.437
96,2026-08-30T15:07:34.740682+00:00,Placas11559.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0096_Placas11559.jpg.png,343731,40,915048,1352534,95676137,197,97943916,2287.62,3381.335,239190.328,0.493,244859.797
97,2026-08-30T15:07:38.080727+00:00,Placass10309.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0097_Placass10309.jpg.png,347073,39,483686,1359974,95789581,185,97633426,1209.215,3399.935,239473.953,0.463,244083.562
98,2026-08-30T15:07:41.441987+00:00,Placass11346.jpg,1,Class2,0,Class1,0,Class1,0,Class1,frame_0098_Placass11346.jpg.png,350447,38,800257,1356792,95756107,211,97913367,2000.643,3391.98,239390.25,0.527,244783.422
99,2026-08-30T15:07:44.787719+00:00,placaas11174.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0099_placaas11174.jpg.png,353788,39,626931,1357322,95690817,263,97675333,1567.328,3393.305,239227.031,0.658,244188.328
100,2026-08-30T15:07:48.124429+00:00,placas1644.jpg,0,Class1,0,Class1,0,Class1,0,Class1,frame_0100_placas1644.jpg.png,357129,39,620807,1356050,95696027,195,97673079,1552.017,3390.125,239240.062,0.488,244182.687
