Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placa42.png;36;1278538;95737937;207;97016682;3196.345;239344.828;0.517;242541.687
Placas11002.jpg;38;1280158;95736677;193;97017028;3200.395;239341.703;0.482;242542.578
Placas11004.jpg;37;1279536;95691255;207;96970998;3198.840;239228.141;0.517;242427.500
Placas11013.jpg;38;1281766;95978695;207;97260668;3204.415;239946.734;0.517;243151.687
Placas11017.jpg;39;1280130;95678867;207;96959204;3200.325;239197.156;0.517;242398.000
Placas11022.jpg;38;1275328;95797211;213;97072752;3188.320;239493.016;0.533;242681.891
Placas11026.jpg;38;1278526;95700399;197;96979122;3196.315;239251.000;0.493;242447.797
Placas11044.jpg;38;1280371;95781568;229;97062168;3200.928;239453.922;0.572;242655.422
Placas11065.jpg;38;1280298;95764437;209;97044944;3200.745;239411.109;0.522;242612.359
Placas11070.jpg;38;1278827;95794838;207;97073872;3197.068;239487.109;0.517;242684.672
Placas11076.jpg;39;1280452;95732951;197;97013600;3201.130;239332.375;0.493;242534.000
Placas11091.jpg;39;1280412;95755089;275;97035776;3201.030;239387.719;0.687;242589.437
Placas11116.jpg;39;1279542;95516905;207;96796654;3198.855;238792.250;0.517;241991.656
Placas11118.jpg;37;1280748;95752563;207;97033518;3201.870;239381.406;0.517;242583.797
Placas11122.jpg;37;1280368;95837533;209;97118110;3200.920;239593.844;0.522;242795.281
Placas11123.jpg;37;1280755;95714122;195;96995072;3201.887;239285.297;0.488;242487.687
Placas11135.jpg;38;1279876;95824069;197;97104142;3199.690;239560.187;0.493;242760.359
Placas11148.jpg;38;1280812;95878761;203;97159776;3202.030;239696.906;0.507;242899.437
Placas11179.jpg;39;1279725;95815960;209;97095894;3199.313;239539.906;0.522;242739.750
Placas11191.jpg;38;1277912;95606685;207;96884804;3194.780;239016.719;0.517;242212.000
Placas11193.jpg;38;1277057;95570904;229;96848190;3192.643;238927.266;0.572;242120.484
Placas11194.jpg;39;1279402;95612267;205;96891874;3198.505;239030.656;0.512;242229.672
Placas11199.jpg;38;1283190;95740101;197;97023488;3207.975;239350.266;0.493;242558.719
Placas11208.jpg;39;1273565;95813438;197;97087200;3183.913;239533.594;0.493;242718.000
Placas11209.jpg;38;1278450;95615065;191;96893706;3196.125;239037.656;0.477;242234.266
Placas11218.jpg;38;1280773;95732810;207;97013790;3201.933;239332.016;0.517;242534.469
Placas11219.jpg;37;1280300;95757851;231;97038382;3200.750;239394.625;0.577;242595.969
Placas11227.jpg;38;1277096;95683053;233;96960382;3192.740;239207.641;0.582;242400.953
Placas11249.jpg;37;1282283;95809924;205;97092412;3205.708;239524.797;0.512;242731.047
Placas11250.jpg;38;1278610;95869919;199;97148728;3196.525;239674.797;0.498;242871.828
Placas11254.jpg;38;1278694;95677119;233;96956046;3196.735;239192.812;0.582;242390.125
Placas11264.jpg;38;1280386;95919933;205;97200524;3200.965;239799.828;0.512;243001.328
Placas11298.jpg;37;1279560;95723873;195;97003628;3198.900;239309.687;0.488;242509.078
Placas11315.jpg;38;1279752;95699189;209;96979150;3199.380;239247.984;0.522;242447.891
Placas11318.jpg;38;1279466;95713781;233;96993480;3198.665;239284.453;0.582;242483.703
Placas11320.jpg;38;1280418;95647309;229;96927956;3201.045;239118.281;0.572;242319.875
Placas11321.jpg;37;1278430;95686905;193;96965528;3196.075;239217.266;0.482;242413.828
Placas11350.jpg;38;1279804;95569057;205;96849066;3199.510;238922.641;0.512;242122.656
Placas11353.jpg;38;1279688;95703495;197;96983380;3199.220;239258.750;0.493;242458.437
Placas11366.jpg;38;1279560;95789859;231;97069650;3198.900;239474.641;0.577;242674.125
Placas11377.jpg;37;1282546;95821493;205;97104244;3206.365;239553.734;0.512;242760.594
Placas11388.jpg;38;1279729;95653160;195;96933084;3199.322;239132.891;0.488;242332.734
Placas11397.jpg;37;1279692;95624307;275;96904274;3199.230;239060.750;0.687;242260.672
Placas11402.jpg;38;1279391;95827800;229;97107420;3198.478;239569.500;0.572;242768.562
Placas11419.jpg;38;1277722;95725263;229;97003214;3194.305;239313.172;0.572;242508.031
Placas11428.jpg;38;1279252;95869251;273;97148776;3198.130;239673.125;0.683;242871.953
Placas11453.jpg;38;1279844;95713345;197;96993386;3199.610;239283.359;0.493;242483.453
Placas11456.jpg;39;1278249;95768392;213;97046854;3195.623;239420.984;0.533;242617.141
Placas11460.jpg;38;1280941;95715608;197;96996746;3202.352;239289.031;0.493;242491.859
Placas11463.jpg;37;1279632;95727629;217;97007478;3199.080;239319.078;0.543;242518.703
Placas11496.jpg;37;1277252;95663715;195;96941162;3193.130;239159.281;0.488;242352.906
Placas11500.jpg;37;1276436;95709567;205;96986208;3191.090;239273.922;0.512;242465.516
Placas11507.jpg;37;1277232;95765971;195;97043398;3193.080;239414.922;0.488;242608.500
Placas11522.jpg;37;1281348;95708513;193;96990054;3203.370;239271.281;0.482;242475.141
Placas11528.jpg;38;1280248;95700981;195;96981424;3200.620;239252.453;0.488;242453.562
Placas11531.jpg;37;1278886;95651211;207;96930304;3197.215;239128.031;0.517;242325.766
Placas11534.jpg;38;1281556;95699299;257;96981112;3203.890;239248.234;0.642;242452.766
Placas11549.jpg;38;1279200;95880967;207;97160374;3198.000;239702.422;0.517;242900.937
Placas11556.jpg;37;1279416;95909029;207;97188652;3198.540;239772.594;0.517;242971.641
Placas11559.jpg;38;1282488;95678037;195;96960720;3206.220;239195.094;0.488;242401.812
Placas11566.jpg;37;1277818;95657149;195;96935162;3194.545;239142.875;0.488;242337.906
Placas11568.jpg;37;1280034;95842211;195;97122440;3200.085;239605.531;0.488;242806.094
Placas11569.jpg;37;1279744;95667215;195;96947154;3199.360;239168.047;0.488;242367.875
Placas11580.jpg;38;1277264;95758965;211;97036440;3193.160;239397.422;0.527;242591.094
Placas11581.jpg;37;1278423;95752292;229;97030944;3196.057;239380.719;0.572;242577.359
Placas11584.jpg;37;1280262;95920705;197;97201164;3200.655;239801.766;0.493;243002.922
Placas11605.jpg;37;1278794;95846099;209;97125102;3196.985;239615.234;0.522;242812.766
Placas11606.jpg;38;1280178;95559203;195;96839576;3200.445;238898.000;0.488;242098.937
Placas11609.jpg;38;1279699;95676814;207;96956720;3199.248;239192.031;0.517;242391.812
Placasm10017.jpg;37;1273104;95680653;195;96953952;3182.760;239201.641;0.488;242384.891
Placasm10043.jpg;37;1277586;95803959;207;97081752;3193.965;239509.906;0.517;242704.391
Placasm10049.jpg;37;1271268;95783443;207;97054918;3178.170;239458.609;0.517;242637.297
Placasm10052.jpg;38;1279368;95622623;207;96902198;3198.420;239056.562;0.517;242255.484
Placasm10054.jpg;38;1277142;95776481;205;97053828;3192.855;239441.203;0.512;242634.547
Placasm10100.jpg;37;1277328;95627673;205;96905206;3193.320;239069.187;0.512;242263.016
Placasm10123.jpg;37;1276408;95928955;195;97205558;3191.020;239822.375;0.488;243013.906
Placasm10137.jpg;37;1273502;95860963;207;97134672;3183.755;239652.406;0.517;242836.672
Placasm10147.jpg;37;1275016;95746883;195;97022094;3187.540;239367.203;0.488;242555.234
Placasm10164.jpg;37;1273682;95787761;207;97061650;3184.205;239469.406;0.517;242654.125
Placasm10177.jpg;38;1274909;95815496;209;97090614;3187.272;239538.734;0.522;242726.531
Placasm10179.jpg;38;1278940;95779725;205;97058870;3197.350;239449.312;0.512;242647.172
Placasm10189.jpg;37;1275000;95959799;207;97235006;3187.500;239899.516;0.517;243087.516
Placasm10201.jpg;38;1272886;95721721;207;96994814;3182.215;239304.297;0.517;242487.031
Placasm10229.jpg;38;1273770;95681287;195;96955252;3184.425;239203.219;0.488;242388.109
Placasm10233.jpg;37;1280751;95660206;193;96941150;3201.878;239150.516;0.482;242352.891
Placasm10236.jpg;37;1280286;95768589;209;97049084;3200.715;239421.484;0.522;242622.719
Placasm10264.jpg;37;1280051;95624846;209;96905106;3200.127;239062.109;0.522;242262.766
Placasm10279.jpg;37;1273304;95754439;197;97027940;3183.260;239386.109;0.493;242569.828
Placasm10285.jpg;37;1271971;95538212;205;96810388;3179.928;238845.516;0.512;242025.953
Placasm10286.jpg;38;1275248;95662923;213;96938384;3188.120;239157.312;0.533;242345.969
Placasm10292.jpg;37;1278622;95894789;209;97173620;3196.555;239736.984;0.522;242934.047
Placasm10303.jpg;37;1280816;95910335;207;97191358;3202.040;239775.844;0.517;242978.406
Placasm10327.jpg;38;1280144;95865657;197;97145998;3200.360;239664.141;0.493;242865.000
Placasm10343.jpg;38;1280118;95709427;229;96989774;3200.295;239273.547;0.572;242474.437
Placasm10365.jpg;38;1276208;95778247;207;97054662;3190.520;239445.625;0.517;242636.672
Placasm10406.jpg;38;1277734;95885693;231;97163658;3194.335;239714.250;0.577;242909.125
Placasm10430.jpg;38;1276688;95718541;209;96995438;3191.720;239296.375;0.522;242488.594
Placasm10431.jpg;38;1275872;95735173;195;97011240;3189.680;239337.937;0.488;242528.094
Placasm10433.jpg;38;1274572;95832477;213;97107262;3186.430;239581.203;0.533;242768.156
