Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placa42.png;41;1279236;95738703;259;97018198;3198.090;239346.766;0.647;242545.500
Placas11002.jpg;41;1280522;95824679;195;97105396;3201.305;239561.703;0.488;242763.484
Placas11004.jpg;42;1281403;95725340;209;97006952;3203.508;239313.359;0.522;242517.391
Placas11013.jpg;41;1279036;95953901;197;97233134;3197.590;239884.766;0.493;243082.844
Placas11017.jpg;40;1281824;95743267;195;97025286;3204.560;239358.156;0.488;242563.234
Placas11022.jpg;41;1280228;95836039;229;97116496;3200.570;239590.094;0.572;242791.234
Placas11026.jpg;41;1278467;95589938;197;96868602;3196.167;238974.828;0.493;242171.500
Placas11044.jpg;40;1277670;95753729;189;97031588;3194.175;239384.328;0.472;242578.953
Placas11065.jpg;41;1278757;95812750;277;97091784;3196.893;239531.875;0.692;242729.469
Placas11070.jpg;40;1278476;95878009;231;97156716;3196.190;239695.016;0.577;242891.812
Placas11076.jpg;40;1279311;95643172;235;96922718;3198.277;239107.922;0.587;242306.812
Placas11091.jpg;40;1277646;95736769;193;97014608;3194.115;239341.922;0.482;242536.516
Placas11116.jpg;41;1280240;95598021;209;96878470;3200.600;238995.062;0.522;242196.187
Placas11118.jpg;40;1279456;95660221;205;96939882;3198.640;239150.547;0.512;242349.687
Placas11122.jpg;38;1280770;95820627;195;97101592;3201.925;239551.562;0.488;242753.984
Placas11123.jpg;37;1280447;95779834;195;97060476;3201.117;239449.578;0.488;242651.203
Placas11135.jpg;37;1280452;95722751;215;97003418;3201.130;239306.875;0.538;242508.531
Placas11148.jpg;37;1279526;95821279;207;97101012;3198.815;239553.203;0.517;242752.516
Placas11179.jpg;37;1276702;95862949;209;97139860;3191.755;239657.375;0.522;242849.641
Placas11191.jpg;37;1280710;95653429;197;96934336;3201.775;239133.594;0.493;242335.828
Placas11193.jpg;37;1282656;95569595;207;96852458;3206.640;238923.969;0.517;242131.125
Placas11194.jpg;37;1278440;95657895;227;96936562;3196.100;239144.750;0.567;242341.391
Placas11199.jpg;38;1278674;95751507;207;97030388;3196.685;239378.766;0.517;242575.953
Placas11208.jpg;37;1274074;95766699;209;97040982;3185.185;239416.750;0.522;242602.469
Placas11209.jpg;36;1284266;95630699;195;96915160;3210.665;239076.734;0.488;242287.891
Placas11218.jpg;36;1280004;95719895;205;97000104;3200.010;239299.750;0.512;242500.250
Placas11219.jpg;37;1278576;95761079;207;97039862;3196.440;239402.687;0.517;242599.656
Placas11227.jpg;36;1279634;95712239;195;96992068;3199.085;239280.594;0.488;242480.156
Placas11249.jpg;36;1279606;95863473;209;97143288;3199.015;239658.672;0.522;242858.219
Placas11250.jpg;36;1279070;95906207;275;97185552;3197.675;239765.516;0.687;242963.891
Placas11254.jpg;37;1280870;95723349;197;97004416;3202.175;239308.391;0.493;242511.047
Placas11264.jpg;36;1278969;95895292;207;97174468;3197.422;239738.234;0.517;242936.156
Placas11298.jpg;36;1279274;95750491;205;97029970;3198.185;239376.234;0.512;242574.922
Placas11315.jpg;36;1279516;95757025;209;97036750;3198.790;239392.562;0.522;242591.875
Placas11318.jpg;37;1279452;95703691;207;96983350;3198.630;239259.234;0.517;242458.375
Placas11320.jpg;36;1279857;95703032;201;96983090;3199.643;239257.578;0.502;242457.719
Placas11321.jpg;36;1278030;95669423;213;96947666;3195.075;239173.562;0.533;242369.156
Placas11350.jpg;36;1277880;95631511;203;96909594;3194.700;239078.781;0.507;242273.984
Placas11353.jpg;37;1279088;95656287;231;96935606;3197.720;239140.719;0.577;242339.016
Placas11366.jpg;36;1279051;95712142;207;96991400;3197.628;239280.359;0.517;242478.500
Placas11377.jpg;36;1280456;95835213;249;97115918;3201.140;239588.047;0.623;242789.797
Placas11388.jpg;36;1280260;95717511;207;96997978;3200.650;239293.781;0.517;242494.937
Placas11397.jpg;36;1280856;95625953;209;96907018;3202.140;239064.891;0.522;242267.547
Placas11402.jpg;37;1278066;95814925;201;97093192;3195.165;239537.312;0.502;242732.969
Placas11419.jpg;36;1279681;95644788;209;96924678;3199.202;239111.969;0.522;242311.687
Placas11428.jpg;36;1281782;95856229;197;97138208;3204.455;239640.578;0.493;242845.531
Placas11453.jpg;36;1280575;95712300;197;96993072;3201.438;239280.766;0.493;242482.672
Placas11456.jpg;35;1277774;95755743;195;97033712;3194.435;239389.359;0.488;242584.281
Placas11460.jpg;35;1280630;95660997;205;96941832;3201.575;239152.500;0.512;242354.578
Placas11463.jpg;35;1279696;95746677;207;97026580;3199.240;239366.703;0.517;242566.437
Placas11496.jpg;35;1279082;95710629;213;96989924;3197.705;239276.578;0.533;242474.797
Placas11500.jpg;36;1282082;95684815;205;96967102;3205.205;239212.047;0.512;242417.766
Placas11507.jpg;36;1280964;95741761;205;97022930;3202.410;239354.391;0.512;242557.312
Placas11522.jpg;36;1280236;95739845;277;97020358;3200.590;239349.609;0.692;242550.891
Placas11528.jpg;35;1281619;95662284;207;96944110;3204.048;239155.719;0.517;242360.281
Placas11531.jpg;35;1276744;95638193;295;96915232;3191.860;239095.484;0.738;242288.078
