Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placa42.png;38;1279662;159699725;205;160979592;3199.155;399249.344;0.512;402448.969
Placas11002.jpg;38;1281377;159862602;207;161144186;3203.443;399656.531;0.517;402860.469
Placas11004.jpg;39;1282074;159631763;255;160914092;3205.185;399079.375;0.637;402285.250
Placas11013.jpg;38;1280937;159858772;305;161140014;3202.343;399646.906;0.762;402850.031
Placas11017.jpg;40;1280690;159683979;367;160965036;3201.725;399209.969;0.918;402412.594
Placas11022.jpg;38;1277008;159797761;321;161075090;3192.520;399494.406;0.803;402687.688
Placas11026.jpg;39;1279036;159529161;257;160808454;3197.590;398822.906;0.642;402021.094
Placas11044.jpg;39;1278226;159682583;307;160961116;3195.565;399206.438;0.767;402402.781
Placas11065.jpg;39;1280419;159775150;323;161055892;3201.048;399437.875;0.808;402639.719
Placas11070.jpg;39;1277794;159808637;265;161086696;3194.485;399521.594;0.663;402716.719
Placas11076.jpg;40;1280680;159648697;289;160929666;3201.700;399121.750;0.723;402324.156
Placas11091.jpg;39;1278602;159732541;253;161011396;3196.505;399331.375;0.632;402528.500
Placas11116.jpg;39;1278432;159537697;273;160816402;3196.080;398844.250;0.683;402040.969
Placas11118.jpg;40;1281850;159664373;349;160946572;3204.625;399160.938;0.873;402366.406
Placas11122.jpg;39;1280008;159707607;207;160987822;3200.020;399269.000;0.517;402469.563
Placas11123.jpg;40;1282093;159663337;197;160945627;3205.232;399158.375;0.493;402364.063
Placas11135.jpg;39;1280424;159688229;197;160968850;3201.060;399220.563;0.493;402422.125
Placas11148.jpg;39;1280812;159757831;305;161038948;3202.030;399394.531;0.762;402597.344
Placas11179.jpg;39;1279728;159764697;195;161044620;3199.320;399411.750;0.488;402611.563
Placas11191.jpg;39;1278078;159622645;273;160900996;3195.195;399056.625;0.683;402252.469
Placas11193.jpg;40;1278840;159617889;275;160897004;3197.100;399044.750;0.687;402242.531
Placas11194.jpg;38;1278982;159499145;207;160778334;3197.455;398747.875;0.517;401945.844
Placas11199.jpg;39;1278106;159660807;207;160939120;3195.265;399152.000;0.517;402347.781
Placas11208.jpg;39;1274084;159750557;205;161024846;3185.210;399376.375;0.512;402562.125
Placas11209.jpg;40;1278922;159584469;209;160863600;3197.305;398961.156;0.522;402159.000
Placas11218.jpg;39;1280216;159738145;205;161018566;3200.540;399345.344;0.512;402546.406
Placas11219.jpg;39;1280440;159745799;287;161026526;3201.100;399364.469;0.717;402566.313
Placas11227.jpg;39;1278408;159632351;207;160910966;3196.020;399080.906;0.517;402277.406
Placas11249.jpg;40;1280970;159878243;207;161159420;3202.425;399695.625;0.517;402898.563
Placas11250.jpg;40;1278980;159836251;415;161115646;3197.450;399590.625;1.038;402789.125
Placas11254.jpg;39;1281971;159707754;207;160989932;3204.928;399269.375;0.517;402474.844
Placas11264.jpg;39;1281494;159912247;229;161193970;3203.735;399780.594;0.572;402984.906
Placas11298.jpg;38;1279181;159661154;1371;160941706;3197.953;399152.875;3.428;402354.313
Placas11315.jpg;40;1282232;159700761;209;160983202;3205.580;399251.938;0.522;402457.969
Placas11318.jpg;40;1280061;159614046;231;160894338;3200.152;399035.125;0.577;402235.844
Placas11320.jpg;40;1279893;159631384;275;160911552;3199.733;399078.469;0.687;402278.875
Placas11321.jpg;40;1281260;159651607;195;160933062;3203.150;399129.000;0.488;402332.656
Placas11350.jpg;40;1279608;159574421;253;160854282;3199.020;398936.031;0.632;402135.719
Placas11353.jpg;40;1277204;159648891;299;160926394;3193.010;399122.250;0.748;402316.000
Placas11366.jpg;40;1282618;159736671;195;161019484;3206.545;399341.688;0.488;402548.719
Placas11377.jpg;40;1280174;159722645;205;161003024;3200.435;399306.594;0.512;402507.563
Placas11388.jpg;40;1280963;159709712;273;160990948;3202.407;399274.281;0.683;402477.344
Placas11397.jpg;40;1279729;159630734;265;160910728;3199.322;399076.813;0.663;402276.781
Placas11402.jpg;40;1279006;159710705;1329;160991040;3197.515;399276.781;3.322;402477.625
Placas11419.jpg;41;1281014;159679657;285;160960956;3202.535;399199.188;0.712;402402.406
Placas11428.jpg;41;1278206;159863371;207;161141784;3195.515;399658.438;0.517;402854.469
Placas11453.jpg;40;1280282;159587931;341;160868554;3200.705;398969.844;0.853;402171.375
Placas11456.jpg;41;1279944;159720273;209;161000426;3199.860;399300.688;0.522;402501.094
