Image;TEMP_C;CYC_PRE;CYC_INF;CYC_POST;CYC_TOTAL;US_PRE;US_INF;US_POST;US_TOTAL
Placa42.png;33;1281211;461491730;253;462773194;3203.027;1153729.375;0.632;1156933.000
Placas11002.jpg;35;1279014;461642218;250;462921482;3197.535;1154105.500;0.625;1157303.625
Placas11004.jpg;35;1282012;461365181;251;462647444;3205.030;1153413.000;0.627;1156618.625
Placas11013.jpg;34;1283596;461582017;239;462865852;3208.990;1153955.000;0.598;1157164.625
Placas11017.jpg;34;1278540;461493845;239;462772624;3196.350;1153734.625;0.598;1156931.500
Placas11022.jpg;33;1279662;461551761;251;462831674;3199.155;1153879.500;0.627;1157079.250
Placas11026.jpg;34;1279762;461567319;253;462847334;3199.405;1153918.250;0.632;1157118.250
Placas11044.jpg;33;1281330;461587721;253;462869304;3203.325;1153969.250;0.632;1157173.250
Placas11065.jpg;35;1282601;461556042;241;462838884;3206.502;1153890.125;0.603;1157097.250
Placas11070.jpg;33;1281392;461656765;253;462938410;3203.480;1154141.875;0.632;1157346.000
Placas11076.jpg;33;1279684;461497661;319;462777664;3199.210;1153744.125;0.798;1156944.125
Placas11091.jpg;33;1279298;461665603;253;462945154;3198.245;1154164.000;0.632;1157362.875
Placas11116.jpg;33;1281472;461443279;241;462724992;3203.680;1153608.125;0.603;1156812.500
Placas11118.jpg;32;1281911;461516334;253;462798498;3204.778;1153790.750;0.632;1156996.250
Placas11122.jpg;34;1278842;461451063;241;462730146;3197.105;1153627.750;0.603;1156825.375
Placas11123.jpg;34;1281132;461501613;239;462782984;3202.830;1153754.000;0.598;1156957.375
Placas11135.jpg;32;1279104;461461955;253;462741312;3197.760;1153654.875;0.632;1156853.250
Placas11148.jpg;32;1279154;461602911;251;462882316;3197.885;1154007.250;0.627;1157205.750
Placas11179.jpg;32;1279362;461515449;235;462795046;3198.405;1153788.625;0.587;1156987.625
Placas11191.jpg;32;1280786;461652007;239;462933032;3201.965;1154130.000;0.598;1157332.500
Placas11193.jpg;32;1280756;461598357;253;462879366;3201.890;1153995.875;0.632;1157198.375
Placas11194.jpg;31;1278578;461505839;253;462784670;3196.445;1153764.500;0.632;1156961.625
Placas11199.jpg;32;1280082;461522903;251;462803236;3200.205;1153807.250;0.627;1157008.125
Placas11208.jpg;32;1274548;461467722;248;462742518;3186.370;1153669.375;0.620;1156856.375
Placas11209.jpg;32;1280726;461521217;253;462802196;3201.815;1153803.000;0.632;1157005.500
Placas11218.jpg;31;1281782;461607303;253;462889338;3204.455;1154018.250;0.632;1157223.375
